episode,reward,emotion,eta,td_error,sigma_mean
221,17.76,0.468,0.00091,0.953,0.0396,0.0000,0.0067
231,11.98,0.300,0.00072,1.128,0.0400,0.0000,0.6800
241,90.99,0.979,0.00077,1.158,0.0399,0.0000,0.0633
251,90.80,0.948,0.00051,1.653,0.0401,0.0000,0.4827
261,11.81,0.326,0.00042,2.048,0.0401,0.0000,0.2399
271,82.37,0.943,0.00075,1.682,0.0391,0.0000,0.6034
281,17.79,0.300,0.00071,1.933,0.0397,0.0000,0.2586
291,27.32,0.559,0.00108,1.083,0.0399,0.0000,0.1281
301,39.52,0.826,0.00088,1.427,0.0398,0.0000,0.1543
311,77.84,0.980,0.00094,1.370,0.0399,0.0000,0.0000
321,118.56,0.980,0.00060,2.161,0.0392,0.0000,0.0000
331,87.42,0.980,0.00085,1.510,0.0392,0.0000,0.0000
341,125.74,0.980,0.00070,1.819,0.0397,0.0000,0.0055
351,108.90,0.980,0.00061,1.619,0.0386,0.0000,0.1804
361,485.00,0.954,0.00073,1.347,0.0388,0.0000,0.0257
371,158.05,0.980,0.00057,1.707,0.0396,0.0000,0.0574
381,201.19,0.927,0.00049,1.825,0.0390,0.0000,0.0527
391,159.27,0.980,0.00072,1.336,0.0393,0.0000,0.0000
401,598.77,0.980,0.00084,1.113,0.0398,0.0000,0.0000
411,207.15,0.957,0.00040,2.749,0.0392,0.0000,0.0394
421,23.58,0.437,0.00108,1.013,0.0389,0.0000,0.1373
431,117.36,0.980,0.00082,1.560,0.0393,0.0000,0.0071
441,124.54,0.974,0.00070,1.800,0.0391,0.0000,0.0065
451,213.15,0.980,0.00069,1.847,0.0395,0.0000,0.0400
461,25.13,0.509,0.00097,1.199,0.0397,0.0000,0.4368
471,35.79,0.583,0.00081,1.426,0.0398,0.0000,0.0623
481,368.84,0.980,0.00070,1.621,0.0389,0.0000,0.0000
491,16.56,0.357,0.00073,1.588,0.0397,0.0000,0.1271
1,26.93,0.579,0.00140,0.941,0.0243,0.0000,0.1790
11,12.90,0.300,0.00042,0.888,0.0399,0.0000,0.0000
21,12.90,0.300,0.00043,0.885,0.0457,0.0000,0.0000
31,14.74,0.300,0.00042,0.883,0.0300,0.0000,0.0000
41,11.97,0.300,0.00041,0.916,0.0548,0.0000,0.0000
51,10.13,0.300,0.00041,0.873,0.0562,0.0000,0.0000
61,16.07,0.300,0.00132,0.260,0.0490,0.0000,0.0000
71,8.91,0.300,0.00149,0.308,0.0507,0.0000,0.0000
81,22.15,0.300,0.00135,0.245,0.0504,0.0000,0.0000
91,25.82,0.300,0.00131,0.296,0.0499,0.0000,0.0000
101,17.46,0.300,0.00127,0.284,0.0491,0.0000,0.0000
111,123.32,0.980,0.00104,0.430,0.0467,0.0000,0.0602
121,107.78,0.894,0.00076,0.630,0.0448,0.0000,0.0863
131,128.14,0.980,0.00081,0.581,0.0422,0.0000,0.0000
141,154.47,0.980,0.00068,0.716,0.0388,0.0000,0.0320
151,112.57,0.980,0.00049,1.431,0.0352,0.0000,0.0000
161,70.63,0.929,0.00077,0.974,0.0314,0.0000,0.0025
171,77.84,0.980,0.00093,0.769,0.0283,0.0000,0.0000
181,77.84,0.980,0.00074,1.009,0.0250,0.0000,0.0000
191,99.40,0.951,0.00081,0.920,0.0214,0.0000,0.0290
201,598.75,0.980,0.00092,0.786,0.0196,0.0000,0.0596
211,17.74,0.300,0.00128,0.557,0.0177,0.0000,0.1226
221,17.69,0.300,0.00104,0.845,0.0161,0.0000,0.0000
231,23.75,0.596,0.00116,0.697,0.0162,0.0000,0.1153
241,114.81,0.980,0.00103,0.965,0.0161,0.0000,0.3678
251,120.95,0.910,0.00097,1.014,0.0168,0.0000,0.0695
261,113.77,0.974,0.00077,1.344,0.0177,0.0000,0.0062
271,136.52,0.930,0.00086,1.212,0.0195,0.0000,0.0497
281,120.95,0.980,0.00103,0.978,0.0216,0.0000,0.0000
291,125.74,0.980,0.00072,1.472,0.0248,0.0000,0.0000
301,17.78,0.459,0.00119,0.791,0.0292,0.0000,0.0588
311,15.29,0.300,0.00133,1.364,0.0321,0.0000,0.0000
321,128.13,0.980,0.00109,2.098,0.0351,0.0000,0.0152
331,16.49,0.300,0.00149,0.946,0.0383,0.0000,0.0000
341,14.00,0.300,0.00121,1.703,0.0429,0.0000,0.0614
351,16.49,0.300,0.00113,2.047,0.0447,0.0000,0.0000
361,26.07,0.300,0.00068,2.810,0.0467,0.0000,0.0000
371,17.74,0.335,0.00049,4.080,0.0497,0.0000,0.0958
381,44.11,0.749,0.00106,1.887,0.0501,0.0000,0.2669
391,19.16,0.494,0.00123,1.634,0.0504,0.0000,0.4858
401,22.73,0.505,0.00105,1.839,0.0502,0.0000,0.4060
411,16.49,0.300,0.00095,2.122,0.0500,0.0000,0.0000
421,15.38,0.377,0.00073,2.761,0.0488,0.0000,0.1405
431,113.76,0.980,0.00065,3.182,0.0458,0.0000,0.0090
441,51.39,0.980,0.00087,2.392,0.0430,0.0000,0.2542
451,28.51,0.590,0.00084,2.484,0.0412,0.0000,0.1878
461,17.65,0.405,0.00102,2.065,0.0375,0.0000,0.0622
471,112.39,0.980,0.00072,3.184,0.0331,0.0000,0.4430
481,23.69,0.434,0.00111,1.838,0.0299,0.0000,0.0007
491,15.57,0.453,0.00049,6.433,0.0269,0.0000,0.5267
1,30.77,0.495,0.00140,0.933,0.0270,0.0000,0.0946
11,14.00,0.300,0.00036,0.915,0.0317,0.0000,0.0007
21,16.80,0.300,0.00035,0.928,0.0324,0.0000,0.0000
31,14.00,0.300,0.00035,0.915,0.0583,0.0000,0.0000
41,11.20,0.300,0.00034,0.950,0.0381,0.0000,0.0000
51,9.33,0.300,0.00039,0.874,0.0466,0.0000,0.0000
61,16.80,0.300,0.00035,0.879,0.0476,0.0000,0.0000
71,8.96,0.300,0.00120,0.415,0.0591,0.0000,0.0000
81,13.81,0.300,0.00117,0.340,0.0577,0.0000,0.0000
91,89.70,0.980,0.00120,0.340,0.0555,0.0000,0.2631
101,110.17,0.980,0.00106,0.419,0.0536,0.0000,0.0090
111,114.96,0.980,0.00075,0.609,0.0501,0.0000,0.0000
121,120.94,0.980,0.00059,0.743,0.0459,0.0000,0.0183
131,197.58,0.980,0.00054,0.806,0.0415,0.0000,0.0393
141,58.68,0.980,0.00058,0.896,0.0368,0.0000,0.0000
151,20.07,0.362,0.00080,0.688,0.0321,0.0000,0.0618
161,21.34,0.435,0.00049,2.136,0.0284,0.0000,0.0027
171,75.44,0.980,0.00133,0.606,0.0239,0.0000,0.0000
181,82.60,0.980,0.00110,0.896,0.0206,0.0000,0.0848
191,27.52,0.542,0.00143,0.526,0.0176,0.0000,0.3827
201,72.87,0.971,0.00103,1.003,0.0165,0.0000,0.4394
211,80.22,0.979,0.00090,1.252,0.0158,0.0000,0.0243
221,20.09,0.347,0.00108,0.536,0.0158,0.0000,0.0469
231,85.00,0.980,0.00156,0.574,0.0178,0.0000,0.0546
241,17.95,0.510,0.00166,0.457,0.0194,0.0000,0.4544
251,74.24,0.980,0.00155,0.686,0.0223,0.0000,0.0000
261,15.36,0.362,0.00145,0.849,0.0264,0.0000,0.1046
271,59.87,0.980,0.00101,1.842,0.0301,0.0000,0.0000
281,91.01,0.980,0.00120,1.384,0.0354,0.0000,0.0000
291,70.65,0.980,0.00133,1.136,0.0395,0.0000,0.0000
301,37.10,0.684,0.00082,1.170,0.0446,0.0000,0.2324
311,59.87,0.980,0.00091,1.183,0.0485,0.0000,0.0000
321,74.22,0.980,0.00074,1.653,0.0526,0.0000,0.0581
331,82.63,0.980,0.00062,1.889,0.0548,0.0000,0.0000
341,39.36,0.722,0.00083,2.061,0.0567,0.0000,0.1402
351,70.65,0.980,0.00064,2.774,0.0567,0.0000,0.0000
361,246.69,0.864,0.00067,3.595,0.0568,0.0000,0.1159
371,186.81,0.980,0.00066,3.659,0.0568,0.0000,0.0000
